key_droid	key_apple	base_value	lang_value	base_note	lang_note
	history_data_alert_cancel	Cancel	Zrušiť	History Data Alert: Cancel button
	history_data_alert_clear	Clear	Vyčistiť	History Data Alert: Clear button
	history_data_alert_import	Import	Importovať	History Data Alert: Import buttom
	history_data_alert_ok	OK	OK	History Data Alert: OK button
	history_data_export_btn	Export History Data	Exportovať údaje histórie	History Data: export action button
	history_data_export_text	Export has been written to:	Export bol zapísaný na adresu:	History Data: export description text
	history_data_import_btn	Import History Data	Importovať údaje histórie	History Data: import action button
	history_data_import_caution_text	Caution: This import will overwrite all history data currently in this Daily Dozen application. Would you like to proceed with the import?	Upozornenie: Tento import prepíše všetky údaje histórie, ktoré sú momentálne v tejto aplikácii Daily Dozen. Chcete pokračovať v importe?	History Data: import caution text
	history_data_import_error_text	Error: The import was not performed because of a data error. The existing data has remained unchanged.	Chyba: Import sa nevykonal z dôvodu chyby údajov. Existujúce údaje zostali nezmenené.	History Data: import data error text
	history_data_import_notfound_text	Did not find a valid import file in the Daily Dozen Documents folder.	V priečinku Daily Dozen Documents sa nenašiel platný súbor pre import.	History Data: import not found text
	history_data_title	History	História	History Data: preferences header & title
